document,year,model,original_length,original_words,summary_length,summary_words,compression_ratio,processing_time,summary,summary_word_count
2020 Sakhir Grand Prix - Offence - Car 4 - PU Elements.pdf,2020,LexRank,1001,162,614,100,0.6133866133866134,0.024565935134887695,Fact The following Power Unit Elements have been used 4th Internal Combustion Engine (ICE) 4th Turbo Charger (TC) Offence Breach of Article 23.3 a) of the FIA Formula One Sporting Regulations. Decisio...,100
2020 Sakhir Grand Prix - Offence - Car 4 - PU Elements.pdf,2020,TextRank,1001,162,614,100,0.6133866133866134,0.0065991878509521484,Fact The following Power Unit Elements have been used 4th Internal Combustion Engine (ICE) 4th Turbo Charger (TC) Offence Breach of Article 23.3 a) of the FIA Formula One Sporting Regulations. Decisio...,100
2020 Sakhir Grand Prix - Offence - Car 4 - PU Elements.pdf,2020,Luhn,1001,162,614,100,0.6133866133866134,0.006106853485107422,Fact The following Power Unit Elements have been used 4th Internal Combustion Engine (ICE) 4th Turbo Charger (TC) Offence Breach of Article 23.3 a) of the FIA Formula One Sporting Regulations. Decisio...,100
2020 Sakhir Grand Prix - Offence - Car 4 - PU Elements.pdf,2020,LexRank-3sent,1001,162,342,55,0.34165834165834164,0.006210803985595703,"Decision Required to start the race from the back of the starting grid. Competitors are reminded that, in accordance with Article 12.2.4 of the FIA International Sporting Code and Article 17.2 of the ...",55
2020 Sakhir Grand Prix - Offence - Car 4 - PU Elements.pdf,2020,TextRank-7sent,1001,162,614,100,0.6133866133866134,0.006190061569213867,Fact The following Power Unit Elements have been used 4th Internal Combustion Engine (ICE) 4th Turbo Charger (TC) Offence Breach of Article 23.3 a) of the FIA Formula One Sporting Regulations. Decisio...,100
2020 Italian Grand Prix - Decision - Turn 11 incident in P3.pdf,2020,LexRank,2537,434,1690,293,0.6661411115490737,0.0076596736907958984,Decision - Turn 11 incident in P3 Description Decision - Turn 11 incident in P3 Enclosed ITA DOC 28 Decision Turn 11 Incident in P3.pdf Garry Connelly Mathieu Remmerie Tom Kristensen Paolo Longoni 202...,293
2020 Italian Grand Prix - Decision - Turn 11 incident in P3.pdf,2020,TextRank,2537,434,1926,332,0.7591643673630272,0.0074579715728759766,Decision - Turn 11 incident in P3 Description Decision - Turn 11 incident in P3 Enclosed ITA DOC 28 Decision Turn 11 Incident in P3.pdf Garry Connelly Mathieu Remmerie Tom Kristensen Paolo Longoni 202...,332
2020 Italian Grand Prix - Decision - Turn 11 incident in P3.pdf,2020,Luhn,2537,434,1893,325,0.7461568782026015,0.007041215896606445,Decision - Turn 11 incident in P3 Description Decision - Turn 11 incident in P3 Enclosed ITA DOC 28 Decision Turn 11 Incident in P3.pdf Garry Connelly Mathieu Remmerie Tom Kristensen Paolo Longoni 202...,325
2020 Italian Grand Prix - Decision - Turn 11 incident in P3.pdf,2020,LexRank-3sent,2537,434,1470,257,0.5794245171462357,0.007627964019775391,Decision - Turn 11 incident in P3 Description Decision - Turn 11 incident in P3 Enclosed ITA DOC 28 Decision Turn 11 Incident in P3.pdf Garry Connelly Mathieu Remmerie Tom Kristensen Paolo Longoni 202...,257
2020 Italian Grand Prix - Decision - Turn 11 incident in P3.pdf,2020,TextRank-7sent,2537,434,2279,394,0.8983050847457628,0.007546186447143555,Decision - Turn 11 incident in P3 Description Decision - Turn 11 incident in P3 Enclosed ITA DOC 28 Decision Turn 11 Incident in P3.pdf Garry Connelly Mathieu Remmerie Tom Kristensen Paolo Longoni 202...,394
